                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99207,                 3.5581,                 1.2047,                0.00333,                      1,                0.03052,                0.02129,                 0.8358,                 3.9603,                 1.0401,                      0,                      0,                      0
                      2,                0.84745,                 3.6166,                 1.0585,                0.16131,                    0.6,                0.25432,                0.22944,                0.70008,                 2.2092,                0.96773,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                0.74002,                 1.9223,                0.92356,                 0.9795,                      1,                  0.995,                 0.8431,                0.61856,                 1.1814,                0.94548,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                0.74918,                 1.0038,                0.87043,                0.98287,                      1,                  0.995,                 0.8511,                0.60112,                 1.3952,                 0.9407,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                0.69388,                0.73866,                0.98351,                0.98792,                      1,                  0.995,                0.85108,                0.63348,                0.82502,                0.94916,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.68716,                0.70579,                0.94784,                0.98308,                      1,                  0.995,                0.84756,                0.66844,                0.82722,                0.96368,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.63126,                0.73242,                0.93684,                0.98278,                      1,                  0.995,                0.85556,                0.71216,                0.72524,                0.97966,             0.00011287,             0.00011287,             0.00011287
                      8,                0.66172,                0.87537,                0.95293,                0.98747,                      1,                  0.995,                0.83157,                0.73107,                0.68625,                0.98464,              0.0001303,              0.0001303,              0.0001303
                      9,                0.75816,                0.55678,                 1.0369,                0.99056,                      1,                  0.995,                0.83557,                0.64135,                 0.5521,                0.93298,             0.00014733,             0.00014733,             0.00014733
                     10,                0.59644,                0.59199,                0.86533,                0.99114,                      1,                  0.995,                 0.8871,                0.55626,                 0.3877,                0.90911,             0.00016396,             0.00016396,             0.00016396
                     11,                0.57026,                0.49163,                0.83479,                0.99106,                      1,                  0.995,                0.84446,                0.58634,                0.41129,                0.90689,              0.0001802,              0.0001802,              0.0001802
                     12,                0.63901,                0.53772,                 0.8654,                0.99131,                      1,                  0.995,                0.89513,                0.55183,                0.41541,                0.90099,             0.00019604,             0.00019604,             0.00019604
                     13,                0.64602,                0.59991,                0.91898,                0.99024,                      1,                  0.995,                 0.8871,                0.55431,                0.55058,                0.92248,             0.00021149,             0.00021149,             0.00021149
                     14,                0.48303,                0.91593,                0.83341,                0.99116,                      1,                  0.995,                0.80144,                0.64925,                0.55592,                0.97755,             0.00022654,             0.00022654,             0.00022654
                     15,                0.66603,                0.74084,                0.95157,                0.99098,                      1,                  0.995,                0.80148,                0.71327,                0.77158,                0.99989,             0.00024119,             0.00024119,             0.00024119
                     16,                 0.4953,                0.72128,                0.93815,                0.99133,                      1,                  0.995,                0.77961,                0.80387,                0.77961,                 1.0152,             0.00025545,             0.00025545,             0.00025545
                     17,                0.70737,                0.65817,                 1.0032,                0.99117,                      1,                  0.995,                0.81157,                0.79719,                0.68174,                0.99211,             0.00026931,             0.00026931,             0.00026931
                     18,                 0.6832,                0.94436,                0.96896,                0.99117,                      1,                  0.995,                0.81157,                0.79719,                0.68174,                0.99211,             0.00028278,             0.00028278,             0.00028278
                     19,                0.72683,                0.73091,                0.85694,                0.99126,                      1,                  0.995,                 0.7805,                0.75532,                0.79507,                 0.9957,             0.00029585,             0.00029585,             0.00029585
                     20,                0.60366,                0.51032,                0.85244,                0.99126,                      1,                  0.995,                 0.7805,                0.75532,                0.79507,                 0.9957,             0.00030852,             0.00030852,             0.00030852
                     21,                0.70368,                0.75305,                0.90748,                0.99135,                      1,                  0.995,                0.80449,                0.72594,                0.76191,                  1.009,              0.0003208,              0.0003208,              0.0003208
                     22,                0.61448,                0.57446,                0.83034,                0.99135,                      1,                  0.995,                0.80449,                0.72594,                0.76191,                  1.009,             0.00033268,             0.00033268,             0.00033268
                     23,                 0.6295,                 0.5781,                0.87092,                0.98844,                      1,                  0.995,                0.79958,                0.70216,                 1.1691,                 1.0084,             0.00034417,             0.00034417,             0.00034417
                     24,                0.63185,                0.50042,                0.87832,                0.98844,                      1,                  0.995,                0.79958,                0.70216,                 1.1691,                 1.0084,             0.00035526,             0.00035526,             0.00035526
                     25,                0.56628,                0.47957,                0.87894,                0.98629,                      1,                  0.995,                   0.76,                0.80105,                 1.3784,                  1.024,             0.00036595,             0.00036595,             0.00036595
                     26,                0.59681,                0.71469,                0.88517,                0.98629,                      1,                  0.995,                   0.76,                0.80105,                 1.3784,                  1.024,             0.00037625,             0.00037625,             0.00037625
                     27,                0.61222,                0.53845,                0.85261,                0.98754,                      1,                  0.995,                0.78086,                0.72063,                 1.3943,                0.98715,             0.00038615,             0.00038615,             0.00038615
                     28,                0.62163,                 0.5704,                0.88331,                0.98754,                      1,                  0.995,                0.78086,                0.72063,                 1.3943,                0.98715,             0.00039566,             0.00039566,             0.00039566
                     29,                0.56425,                0.44522,                0.83601,                0.98558,                      1,                  0.995,                0.84137,                0.69788,                 1.2455,                 0.9649,             0.00040477,             0.00040477,             0.00040477
                     30,                0.53108,                0.44661,                0.85343,                0.98558,                      1,                  0.995,                0.84137,                0.69788,                 1.2455,                 0.9649,             0.00041348,             0.00041348,             0.00041348
                     31,                0.62807,                0.61774,                0.84548,                0.98913,                      1,                  0.995,                0.80072,                 0.7652,                0.87776,                0.97288,              0.0004218,              0.0004218,              0.0004218
                     32,                0.63174,                0.49304,                0.84889,                0.98913,                      1,                  0.995,                0.80072,                 0.7652,                0.87776,                0.97288,             0.00042972,             0.00042972,             0.00042972
                     33,                0.51733,                0.43651,                0.86107,                0.99071,                      1,                  0.995,                0.73963,                0.83055,                0.83692,                 1.0222,             0.00043725,             0.00043725,             0.00043725
                     34,                0.52065,                0.57105,                0.93082,                0.99071,                      1,                  0.995,                0.73963,                0.83055,                0.83692,                 1.0222,             0.00044438,             0.00044438,             0.00044438
                     35,                0.55693,                0.44033,                0.81252,                0.99058,                      1,                  0.995,                 0.8156,                0.75012,                 0.6448,                0.99602,             0.00045111,             0.00045111,             0.00045111
                     36,                0.55936,                0.43326,                0.89613,                0.99058,                      1,                  0.995,                 0.8156,                0.75012,                 0.6448,                0.99602,             0.00045745,             0.00045745,             0.00045745
                     37,                0.60517,                  0.515,                0.84959,                0.99034,                      1,                  0.995,                0.85515,                0.64951,                0.64364,                0.94964,             0.00046339,             0.00046339,             0.00046339
                     38,                0.52828,                0.40154,                0.82268,                0.99034,                      1,                  0.995,                0.85515,                0.64951,                0.64364,                0.94964,             0.00046894,             0.00046894,             0.00046894
                     39,                0.49217,                0.37956,                0.83262,                0.99052,                      1,                  0.995,                 0.8008,                0.69598,                0.74457,                0.95687,             0.00047409,             0.00047409,             0.00047409
                     40,                0.68716,                0.49694,                0.94769,                0.99052,                      1,                  0.995,                 0.8008,                0.69598,                0.74457,                0.95687,             0.00047884,             0.00047884,             0.00047884
                     41,                0.73664,                0.49346,                0.92158,                      1,                0.96811,                  0.995,                0.65979,                0.80094,                0.91605,                 1.0076,              0.0004832,              0.0004832,              0.0004832
                     42,                 0.5991,                0.54359,                0.87369,                      1,                0.96811,                  0.995,                0.65979,                0.80094,                0.91605,                 1.0076,             0.00048716,             0.00048716,             0.00048716
                     43,                 0.5579,                0.53061,                0.92623,                0.95352,                    0.6,                 0.7077,                0.48391,                 1.4435,                  1.717,                 1.3199,             0.00049073,             0.00049073,             0.00049073
                     44,                0.58209,                 0.4299,                0.85398,                0.95352,                    0.6,                 0.7077,                0.48391,                 1.4435,                  1.717,                 1.3199,              0.0004939,              0.0004939,              0.0004939
                     45,                0.66149,                0.45302,                0.91845,                0.68475,                    0.6,                0.69154,                0.44522,                 1.5754,                 1.6646,                 1.3362,             0.00049667,             0.00049667,             0.00049667
                     46,                0.58824,                0.48893,                0.83816,                0.68475,                    0.6,                0.69154,                0.44522,                 1.5754,                 1.6646,                 1.3362,             0.00049905,             0.00049905,             0.00049905
                     47,                0.62271,                0.39233,                0.95304,                0.72194,                    0.8,                0.80591,                0.60066,                 1.1539,                 1.1575,                 1.1408,             0.00050103,             0.00050103,             0.00050103
                     48,                0.78347,                0.57752,                0.92447,                0.72194,                    0.8,                0.80591,                0.60066,                 1.1539,                 1.1575,                 1.1408,             0.00050262,             0.00050262,             0.00050262
                     49,                0.58926,                0.45859,                  0.908,                 0.9871,                      1,                  0.995,                0.81164,                0.83964,                0.70966,                 1.0435,             0.00050381,             0.00050381,             0.00050381
                     50,                0.48098,                0.44136,                0.82729,                 0.9871,                      1,                  0.995,                0.81164,                0.83964,                0.70966,                 1.0435,              0.0005046,              0.0005046,              0.0005046
                     51,                  0.462,                 0.3942,                0.88746,                 0.9867,                      1,                  0.995,                0.87155,                0.71141,                0.76966,                 1.0255,               0.000505,               0.000505,               0.000505
                     52,                 0.5682,                0.44432,                0.95089,                 0.9867,                      1,                  0.995,                0.87155,                0.71141,                0.76966,                 1.0255,               0.000505,               0.000505,               0.000505
                     53,                0.53725,                0.40035,                0.85635,                 0.9867,                      1,                  0.995,                0.87155,                0.71141,                0.76966,                 1.0255,             0.00050461,             0.00050461,             0.00050461
                     54,                0.58089,                0.47575,                 0.9364,                0.92177,                      1,                  0.995,                0.80762,                0.69653,                0.79211,                 1.0232,             0.00050382,             0.00050382,             0.00050382
                     55,                0.52752,                0.51769,                0.86334,                0.92177,                      1,                  0.995,                0.80762,                0.69653,                0.79211,                 1.0232,             0.00050263,             0.00050263,             0.00050263
                     56,                 0.5832,                0.51879,                0.90768,                0.92177,                      1,                  0.995,                0.80762,                0.69653,                0.79211,                 1.0232,             0.00050105,             0.00050105,             0.00050105
                     57,                0.48458,                0.48068,                 0.8832,                0.93475,                      1,                  0.995,                0.76762,                0.81829,                 1.4011,                 1.0928,             0.00049907,             0.00049907,             0.00049907
                     58,                0.62824,                0.57273,                0.85355,                0.93475,                      1,                  0.995,                0.76762,                0.81829,                 1.4011,                 1.0928,              0.0004967,              0.0004967,              0.0004967
                     59,                0.60277,                0.43938,                0.84707,                0.93475,                      1,                  0.995,                0.76762,                0.81829,                 1.4011,                 1.0928,             0.00049393,             0.00049393,             0.00049393
                     60,                0.60242,                0.38717,                0.81067,                0.90979,                    0.8,                0.80663,                0.55501,                 1.0398,                 1.2157,                 1.1465,             0.00049076,             0.00049076,             0.00049076
                     61,                0.57728,                0.63016,                 1.0278,                0.90979,                    0.8,                0.80663,                0.55501,                 1.0398,                 1.2157,                 1.1465,              0.0004872,              0.0004872,              0.0004872
